,D,E,F,G,H,J,K,L,M,N,P,Q,R,T
SPR-01,0.3-1-1,0.3-1,0.25-1,0.3-1,0.2-1,0.3-1,0.25-1,1-2,0.3-1,0.2-1,0.2-1,0.25-1,0.2-1,0.25-0.7
SPR-02,1-2-2,1-2,1-2,1-2,1-2,1-2,1-2,2-3,1-2,1-2,1-2,1-2,1-2,0.7-1
SPR-03,-3,2-3,2-3,2-3,2-3,2-3,2-3,3-4,2-3,2-3,2-3,2-3,2-3,1-2.5
SPR-04,3-4,3-4,3-4,3-4,3-4,3-4,3-4,4-6,3-4,3-4,3-4,3-4,3-4,2.5-3.4
SPR-05,4-6,4-5,4-5,4-5,4-6,4-5,4-5,6-8,4-6,4-6,4-5,4-5,4-5,3.4-4.8
SPR-06,6-8,5-6,5-7,5-7,6-9,5-7,5-6,8-11,6-9,6-8,5-7,5-6,5-7,4.8-7.6
SPR-07,8-11,6-8,7-9,7-9,9-12,7-9,6-8,11-15,9-12,8-11,7-9,6-8,7-9,7.6-8.7
SPR-08,11-14,8-10,9-12,9-11,12-15,9-11,8-12,15-20,12-17,11-16,9-11,8-10,9-12,8.7-11.1
SPR-09,14-19,10-12,12-17,11-13,15-19,11-15,12-15,20-28,17-22,16-20,11-13,10-11.5,12-17,11.1-15
SPR-10,19-23,12-17,17-21,13-16,19-21,15-19.6,15-19,28-40,22-26,20-21,13-20,11.5-13,17-21,15-18
SPR-11,23-29,17-22,21-27,16-19,21-26,19.6-22,19-23,40-51,26-36,21-26,20-25,13-17,,
SPR-12,29-37,22-27,27-35,19-25,26-30,22-28,23-27,51-67,36-43,26-36,25-32,17-19,,
SPR-13,37-44,27-34,35-43,25-32,30-35,28-36,27-33,67-73,43-51,36-42,32-36,19-21,,
SPR-14,44-48,34-40,43-52,32-38,35-52,36-43,33-52,73-84,51-56,42-51,36-37,21-27,,
SPR-15,48-66,40-52,52-66,38-48,52-64,43-52,52-58,84-103,56-67,51-56,37-43,27-35,,
SPR-16,66-78,52-72,66-93,48-67,64-78,52-73,58-79,,67-76,56-69,43-52,35-42,,
SPR-17,78-95,72-88,93-102,67-78,78-89,73-93,79-104,,,,52-69,,,
SPR-18,95-102,88-102,102-139,78-102,89-102,93-102,104-153,,,,,,,
SPR-19,102-141,102-139,139-158,102-139,102-159,102-110,,,,,,,,
SPR-20,141-171,139-171,158-183,139-192,159-168,110-153,,,,,,,,
SPR-21,171-255,171-194,183-255,192-255,168-190,153-186,,,,,,,,
SPR-22,,194-255,,,,,,,,,,,,
