,B,D,E,F,G
SPR-01,0.41-0.61,4.4-5.8,0.2-0.3,0.2-0.4,0.3-0.5
SPR-02,0.61-1.02,5.8-10.2,0.3-0.4,0.4-0.5,0.5-0.7
SPR-03,1.02-1.74,10.2-16,0.4-0.6,0.5-0.7,0.7-0.9
SPR-04,1.74-2.76,16-24.7,0.6-1,0.7-1,0.9-1.1
SPR-05,2.76-4.39,24.7-31.9,1-1.3,1-1.6,1.1-1.3
SPR-06,4.39-5.71,31.9-45,1.3-1.8,1.6-2,1.3-1.5
SPR-07,5.71-7.65,45-50.8,1.8-2.6,2-2.3,1.5-1.7
SPR-08,7.65-8.87,50.8-58,2.6-3,2.3-2.6,1.7-1.9
SPR-09,8.87-9.89,58-63.8,3-3.3,2.6-3,1.9-2.2
SPR-10,9.89-11.12,63.8-69.6,3.3-3.7,3-3.4,2.2-2.5
SPR-11,11.12-12.54,69.6-76.9,3.7-4.1,3.4-3.9,2.5-2.9
SPR-12,12.54-13.97,76.9-89.9,4.1-4.8,3.9-4.8,2.9-3.3
SPR-13,13.97-15.8,89.9-103,4.8-5.6,4.8-5.5,3.3-3.7
SPR-14,15.8-17.84,103-113.1,5.6-6.5,5.5-7,3.7-4.1
SPR-15,17.84-20.09,113.1-126.2,6.5-7.6,7-9,4.1-4.6
SPR-16,20.09-22.03,126.2-139.2,7.6-8.9,9-11.3,4.6-5.2
SPR-17,22.03-24.57,139.2-152.3,8.9-10.5,11.3-14.5,5.2-5.9
SPR-18,24.57-26.72,152.3-166.8,10.5-11.5,14.5-18.5,5.9-6.7
SPR-19,26.75-33.75,166.8-184.2,11.5-14.2,18.5-23.7,6.7-7.6
SPR-20,33.75-38.85,184.2-221.9,14.2-16.3,23.7-30.7,7.6-8.6
SPR-21,38.85-46.6,221.9-303.1,16.3-18.7,30.7-39.8,8.6-9.7
SPR-22,46.6-55.88,303.1-384.4,18.7-21.5,39.8-52,9.7-10.8
SPR-23,55.88-61.79,384.4-465.6,21.5-24.8,,10.8-12.3
SPR-24,61.79-70.94,465.6-547,24.8-28.5,,12.3-13.9
SPR-25,70.94-81.7,547-628,28.5-34.1,,13.9-15.7
SPR-26,81.7-93.79,628-724,34.1-42,,15.7-17.7
SPR-27,93.79-107.08,724-831,42-52,,17.7-20
SPR-28,107.08-123.39,831-943,52-57.5,,
SPR-29,123.39-158.05,943-1040,57.5-66.5,,
SPR-30,158.05-161.14,1040-1082,66.5-83,,
SPR-31,161.14-185.61,1082-1284,83-96.5,,
SPR-32,185.61-219.22,1284-1500,96.5-110,,
SPR-33,219.22-249.8,1494-1653,110-125,,
SPR-34,249.8-283.48,1653-1755,125-155,,
SPR-35,283.48-301.83,1755-2118,,,
SPR-36,301.83-364.05,2118-2582,,,
SPR-37,364.05-439.49,2582-2785,,,
